record_id	kind	outer	hot	user_us	wifi_us	connect_us	txdone_us	teardown_us	sleep_elapsed_us	sleep_overhead_us	app_entry_us	cb_seen	cb_timeout	brownout	auth	seq	diag_mode	tx_cb_total	tx_cb_success	tx_cb_failed	first_status	first_cb_delta_us	first_success_delta_us	first_failed_delta_us	last_cb_delta_us	callbacks_after_success	rssi	disconnect_count	last_disconnect_reason	reconnect_count	ap_primary	variant	short_retry	long_retry	retry_called	retry_set_rc	retry_cfg_us	encode_us	actual_channel	wifi_init_us	heap_before	heap_after
11	2	1	10	1090284	1078974	1001059	2559	54409	1040710	40710	5381	1	0	0	3	12	0	0	0	0	255	4294967295	4294967295	4294967295	4294967295	0	-19	0	0	0	0	0	0	0	0	-1	0	0	6	0	0	0
22	2	2	10	1060284	1048974	983803	174	45373	1040710	40710	5381	1	0	0	3	23	0	0	0	0	255	4294967295	4294967295	4294967295	4294967295	0	-18	0	0	0	0	0	0	0	0	-1	0	0	6	0	0	0
